Location,Crop,Yr,Site_Crop_Yr,Rep,Termination,EU,weed_paper,LatePRE,Biomass,Field_Bio
Arlington,Soybean,2020,ARL_SB_20,1,Early,105,N,N,4.3,154.2824778
Arlington,Soybean,2020,ARL_SB_20,1,Early,106,N,N,2.96,106.2037522
Arlington,Soybean,2020,ARL_SB_20,2,Early,201,N,N,8.12,291.3427255
Arlington,Soybean,2020,ARL_SB_20,2,Early,202,N,N,10.12,363.1020175
Arlington,Soybean,2020,ARL_SB_20,3,Early,306,N,N,6.9,247.5695574
Arlington,Soybean,2020,ARL_SB_20,3,Early,307,N,N,5.72,205.2315751
Arlington,Soybean,2020,ARL_SB_20,4,Early,401,N,N,3.92,140.6482123
Arlington,Soybean,2020,ARL_SB_20,4,Early,412,N,N,3.27,117.3264424
Arlington,Soybean,2020,ARL_SB_20,1,Late,109,N,N,52.8,1894.445309
Arlington,Soybean,2020,ARL_SB_20,1,Late,110,N,Y,26.33,944.7110792
Arlington,Soybean,2020,ARL_SB_20,2,Late,204,N,Y,24.97,895.9147606
Arlington,Soybean,2020,ARL_SB_20,2,Late,208,N,N,48.1,1725.810973
Arlington,Soybean,2020,ARL_SB_20,3,Late,308,N,Y,13.28,476.4816989
Arlington,Soybean,2020,ARL_SB_20,3,Late,311,N,N,75.94,2724.700317
Arlington,Soybean,2020,ARL_SB_20,4,Late,402,N,Y,60.29,2163.183857
Arlington,Soybean,2020,ARL_SB_20,4,Late,405,N,N,127.1,4560.303007
Arlington,Soybean,2020,ARL_SB_20,1,Plant,107,Y,N,16.13,578.73869
Arlington,Soybean,2020,ARL_SB_20,2,Plant,203,Y,N,12.1,434.1437166
Arlington,Soybean,2020,ARL_SB_20,4,Plant,406,Y,N,24.38,874.7457695
Arlington,Soybean,2020,ARL_SB_20,3,Plant,310,Y,N,7.12,255.4630795
Arlington,Corn,2019,ARL_CN_19,1,Early,105,N,N,5.7,204.42708
Arlington,Corn,2019,ARL_CN_19,1,Early,106,N,N,5.9,211.59996
Arlington,Corn,2019,ARL_CN_19,2,Early,201,N,N,3.6,129.11184
Arlington,Corn,2019,ARL_CN_19,2,Early,202,N,N,10.1,362.23044
Arlington,Corn,2019,ARL_CN_19,3,Early,306,N,N,8.6,308.43384
Arlington,Corn,2019,ARL_CN_19,3,Early,307,N,N,6.4,229.53216
Arlington,Corn,2019,ARL_CN_19,4,Early,401,N,N,7.3,261.81012
Arlington,Corn,2019,ARL_CN_19,4,Early,412,N,N,8.8,315.60672
Arlington,Corn,2019,ARL_CN_19,1,Late,109,N,N,171,6132.8124
Arlington,Corn,2019,ARL_CN_19,1,Late,110,N,Y,134,4805.8296
Arlington,Corn,2019,ARL_CN_19,2,Late,204,N,Y,94,3371.2536
Arlington,Corn,2019,ARL_CN_19,2,Late,208,N,N,172,6168.6768
Arlington,Corn,2019,ARL_CN_19,3,Late,308,N,Y,151,5415.5244
Arlington,Corn,2019,ARL_CN_19,3,Late,311,N,N,121,4339.5924
Arlington,Corn,2019,ARL_CN_19,4,Late,402,N,Y,280,10042.032
Arlington,Corn,2019,ARL_CN_19,1,Plant,106,N,N,5,179.322
Arlington,Corn,2019,ARL_CN_19,1,Plant,108,Y,N,20,717.288
Arlington,Corn,2019,ARL_CN_19,2,Plant,201,N,N,6,215.1864
Arlington,Corn,2019,ARL_CN_19,2,Plant,205,Y,N,18,645.5592
Arlington,Corn,2019,ARL_CN_19,3,Plant,307,N,N,12,430.3728
Arlington,Corn,2019,ARL_CN_19,3,Plant,309,Y,N,19,681.4236
Arlington,Corn,2019,ARL_CN_19,4,Plant,401,N,N,7,251.0508
Arlington,Corn,2019,ARL_CN_19,4,Plant,411,Y,N,23,824.8812
Arlington,Corn,2020,ARL_CN_20,1,Early,105,N,N,7.75,278.0672565
Arlington,Corn,2020,ARL_CN_20,1,Early,106,N,N,7.19,257.9746547
Arlington,Corn,2020,ARL_CN_20,2,Early,203,N,N,6.53,234.2940884
Arlington,Corn,2020,ARL_CN_20,2,Early,207,N,N,5.66,203.0787964
Arlington,Corn,2020,ARL_CN_20,3,Early,311,N,N,5.8,208.1019468
Arlington,Corn,2020,ARL_CN_20,3,Early,312,N,N,11.26,404.004814
Arlington,Corn,2020,ARL_CN_20,4,Early,401,N,N,5.35,191.9561061
Arlington,Corn,2020,ARL_CN_20,4,Early,411,N,N,3.53,126.6551504
Arlington,Corn,2020,ARL_CN_20,1,Late,109,N,N,75.77,2718.600777
Arlington,Corn,2020,ARL_CN_20,2,Late,202,N,Y,79.53,2853.508246
Arlington,Corn,2020,ARL_CN_20,2,Late,205,N,N,34.66,1243.58853
Arlington,Corn,2020,ARL_CN_20,3,Late,307,N,N,105.91,3800.013308
Arlington,Corn,2020,ARL_CN_20,4,Late,405,N,Y,91.77,3292.675113
Arlington,Corn,2020,ARL_CN_20,4,Late,412,N,N,102.86,3690.580388
Arlington,Corn,2020,ARL_CN_20,3,Late,306,N,Y,90.11,3233.114901
Arlington,Corn,2020,ARL_CN_20,1,Late,110,N,Y,52.01,1866.100388
Arlington,Corn,2020,ARL_CN_20,1,Plant,107,Y,N,24.4,875.4633624
Arlington,Corn,2020,ARL_CN_20,2,Plant,204,Y,N,18.02,646.5512209
