Location,Crop,Year,Site_crop_yr,Rep,Soil,EU,PRE,Yield,Weed_Control
Arlington,Corn,2019,ARL_CN_19,1,CT,101,N,11412.77172,85
Arlington,Corn,2019,ARL_CN_19,1,CT,102,Y,9434.6124,97
Arlington,Corn,2019,ARL_CN_19,1,NT,103,N,11890.43562,78
Arlington,Corn,2019,ARL_CN_19,1,NT,104,Y,13908.60079,95
Arlington,Corn,2019,ARL_CN_19,1,CCET,105,N,13704.58204,79
Arlington,Corn,2019,ARL_CN_19,1,CCET,106,Y,13587.89535,98
Arlington,Corn,2019,ARL_CN_19,1,CCPT,107,N,14293.0671,90
Arlington,Corn,2019,ARL_CN_19,1,CCPT,108,Y,14531.34834,95
Arlington,Corn,2019,ARL_CN_19,1,CCLT,109,N,11064.57882,98
Arlington,Corn,2019,ARL_CN_19,1,CCLT,110,Y,11345.23641,99
Arlington,Corn,2019,ARL_CN_19,1,CCFH,111,N,12099.58228,86
Arlington,Corn,2019,ARL_CN_19,1,CCFH,112,Y,11609.9426,98
Arlington,Corn,2019,ARL_CN_19,2,CCET,201,Y,13504.91966,95
Arlington,Corn,2019,ARL_CN_19,2,CCET,202,N,13101.04892,78
Arlington,Corn,2019,ARL_CN_19,2,CCPT,203,N,13018.24242,92
Arlington,Corn,2019,ARL_CN_19,2,CCLT,204,Y,11187.04279,98
Arlington,Corn,2019,ARL_CN_19,2,CCPT,205,Y,13227.41991,94
Arlington,Corn,2019,ARL_CN_19,2,CCFH,206,N,12008.55709,80
Arlington,Corn,2019,ARL_CN_19,2,CCFH,207,Y,13882.26756,96
Arlington,Corn,2019,ARL_CN_19,2,CCLT,208,N,11549.5889,99
Arlington,Corn,2019,ARL_CN_19,2,NT,209,N,13596.70675,90
Arlington,Corn,2019,ARL_CN_19,2,NT,210,Y,14205.18934,95
Arlington,Corn,2019,ARL_CN_19,2,CT,211,Y,13497.8078,97
Arlington,Corn,2019,ARL_CN_19,2,CT,212,N,13810.62368,83
Arlington,Corn,2019,ARL_CN_19,3,CT,301,Y,12221.04502,98
Arlington,Corn,2019,ARL_CN_19,3,CT,302,N,12058.67617,87
Arlington,Corn,2019,ARL_CN_19,3,NT,303,Y,13912.10778,97
Arlington,Corn,2019,ARL_CN_19,3,NT,304,N,14594.32457,94
Arlington,Corn,2019,ARL_CN_19,3,CCFH,305,Y,12477.42231,94
Arlington,Corn,2019,ARL_CN_19,3,CCET,306,N,13371.27264,10
Arlington,Corn,2019,ARL_CN_19,3,CCET,307,Y,14581.6894,98
Arlington,Corn,2019,ARL_CN_19,3,CCLT,308,Y,10855.37513,99
Arlington,Corn,2019,ARL_CN_19,3,CCPT,309,Y,14286.13059,98
Arlington,Corn,2019,ARL_CN_19,3,CCPT,310,N,13965.82402,97
